Artist,Track,Playcount,Album,Duration,Listeners,Tags,Artist URL,Track URL
Karthik,"Collegikku (From ""Kovil"")",299,Play Back Singer Karthik Special,316000,106,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/collegikku%2b%2528from%2b%2522kovil%2522%2529
Karthik,I Dont Want Luv,490,Kick (Original Motion Picture Soundtrack),317000,103,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/i%2bdont%2bwant%2bluv
Karthik,Padham Vedichi,463,Sega (Original Motion Picture Soundtrack),245000,102,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/padham%2bvedichi
Karthik,Vedam,189,Vedam,96000,101,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/vedam
Karthik,Penne Ennai Kodu,273,Yaaradi Nee Mohini,272000,100,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/penne%2bennai%2bkodu
Karthik,"Kadavule Pole - From ""Lucifer""",699,Unknown,0,99,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/kadavule%2bpole%2b-%2bfrom%2b%2522lucifer%2522
Karthik,"Siru Paarvayale (From ""Bheema"")",545,Play Back Singer Karthik Special,296000,97,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/siru%2bpaarvayale%2b%2528from%2b%2522bheema%2522%2529
Karthik,Alai Alaiyaaga - Extended Version,484,Navarasa (Original Motion Picture Soundtrack),179000,97,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/alai%2balaiyaaga%2b-%2bextended%2bversion
Karthik,Neeli Neeli,330,Unknown,249000,97,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/neeli%2bneeli
Karthik,Chillax,376,Unknown,0,95,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/chillax
Karthik,Jaadugari,694,Jaadugar,180000,94,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/jaadugari
